Crop	Soil	Season	Region	Fertilizer	Pesticide
Hybrid Tomato	Red	Spring	Maharashtra	Potassium Nitrate	Terminator XT
Wheat	Clay	Winter	Gujarat	Calcium Nitrate	Fungicide Pro
Black Gram	Black	Rainy	Maharashtra	Urea	LeafShield
Bengal Gram	Loamy	Spring	Tamil Nadu	Calcium Nitrate	Mitex
Cluster Beans	Loamy	Rainy	Tamil Nadu	Potassium Nitrate	GreenSpray
Bengal Gram	Clay	Summer	Maharashtra	NPK 20-20-20	Organic Guard
GroundNut	Clay	Summer	Kerala	Urea	Bayer Confidor
Cluster Beans	Clay	Winter	Maharashtra	DAP	Terminator XT
Sesame	Loamy	Rainy	Karnataka	Humic Acid	Bayer Confidor
WaterMelon	Sandy	Spring	Telangana	Humic Acid	InsectoShield
Chilli	Loamy	Rainy	Karnataka	Urea	InsectoShield
Cucumber	Clay	Summer	Punjab	NPK 20-20-20	SafeGuard
Sunflower	Loamy	Spring	Gujarat	Urea	GreenSpray
Sesame	Loamy	Spring	Punjab	Calcium Nitrate	CropCare Plus
Fennel	Clay	Winter	Maharashtra	NPK 20-20-20	InsectoShield
Papaya	Black	Spring	Punjab	Urea	Organic Guard
Maize	Red	Winter	Punjab	NPK 20-20-20	Bioneem Spray
Basmathi Rice	Red	Spring	Karnataka	Zinc Sulphate	Dicofol
SonaMasoori	Loamy	Spring	Gujarat	Silicon Fertilizer	EcoHume
Onion Seeds	Clay	Winter	Kerala	Urea	PowerNeem
Cotton	Red	Winter	Gujarat	Humic Acid	Organic Guard
Brinjal	Black	Rainy	Punjab	NPK 20-20-20	EcoHume
Brinjal	Clay	Summer	Tamil Nadu	Rock Phosphate	WeedEx
SonaMasoori	Red	Winter	Karnataka	Rock Phosphate	LeafShield
Cotton	Clay	Summer	Kerala	Rock Phosphate	InsectoShield
Fennel	Red	Spring	Maharashtra	Rock Phosphate	Terminator XT
Hybrid Tomato	Loamy	Rainy	Tamil Nadu	Zinc Sulphate	Bayer Confidor
WaterMelon	Clay	Winter	Punjab	Humic Acid	EcoHume
Cluster Beans	Loamy	Spring	Punjab	Humic Acid	PowerNeem
Gongura	Red	Rainy	Maharashtra	Ammonium Sulphate	PowerNeem
GroundNut	Sandy	Rainy	Maharashtra	Ammonium Sulphate	Terminator XT
GroundNut	Red	Summer	Telangana	Liquid Organic Fertilizer	WeedEx
Maize	Sandy	Winter	Kerala	Phosphoric Acid	Organic Guard
Cotton	Black	Summer	Tamil Nadu	DAP	Organic Guard
Fennel	Sandy	Spring	Punjab	Rock Phosphate	Terminator XT
Sunflower	Sandy	Winter	Telangana	Rock Phosphate	Organic Guard
Bengal Gram	Sandy	Winter	Telangana	DAP	Mitex
Hybrid Tomato	Red	Spring	Andhra Pradesh	Calcium Nitrate	Terminator XT
SonaMasoori	Black	Winter	Maharashtra	Silicon Fertilizer	GreenSpray
Bengal Gram	Loamy	Summer	Maharashtra	Urea	WeedEx
Gongura	Red	Spring	Punjab	Potassium Nitrate	SafeGuard
Cucumber	Black	Winter	Kerala	Ammonium Sulphate	WeedEx
Cluster Beans	Sandy	Rainy	Kerala	Humic Acid	WeedEx
WaterMelon	Loamy	Winter	Kerala	Liquid Organic Fertilizer	Bioneem Spray
Cotton	Loamy	Summer	Gujarat	Phosphoric Acid	SafeGuard
Cotton	Black	Winter	Karnataka	NPK 20-20-20	InsectoShield
Chia	Red	Summer	Andhra Pradesh	Humic Acid	GreenSpray
Cluster Beans	Loamy	Spring	Karnataka	Potassium Nitrate	Terminator XT
Sunflower	Red	Summer	Tamil Nadu	NPK 20-20-20	PowerNeem
Sesame	Loamy	Spring	Punjab	Urea	GreenSpray
Onion Seeds	Clay	Winter	Punjab	Calcium Nitrate	CropCare Plus
Wheat	Red	Summer	Maharashtra	Liquid Organic Fertilizer	LeafShield
Black Gram	Clay	Winter	Telangana	NPK 20-20-20	Terminator XT
Onion Seeds	Black	Spring	Kerala	Ammonium Sulphate	SafeGuard
WaterMelon	Black	Summer	Maharashtra	Humic Acid	Bayer Confidor
Onion Seeds	Sandy	Spring	Tamil Nadu	Phosphoric Acid	Mitex
Papaya	Red	Spring	Punjab	Zinc Sulphate	Terminator XT
Chilli	Loamy	Summer	Telangana	NPK 20-20-20	WeedEx
Basmathi Rice	Red	Rainy	Gujarat	DAP	CropCare Plus
Cotton	Loamy	Spring	Kerala	Calcium Nitrate	Bayer Confidor
Sesame	Loamy	Spring	Gujarat	DAP	Dicofol
WaterMelon	Black	Spring	Telangana	Calcium Nitrate	WeedEx
GroundNut	Loamy	Winter	Andhra Pradesh	Ammonium Sulphate	Mitex
Cluster Beans	Clay	Spring	Maharashtra	Phosphoric Acid	Mitex
SonaMasoori	Loamy	Winter	Maharashtra	Silicon Fertilizer	Bioneem Spray
Hybrid Tomato	Red	Rainy	Telangana	Silicon Fertilizer	Dicofol
Maize	Red	Summer	Gujarat	Rock Phosphate	Bioneem Spray
Bengal Gram	Red	Rainy	Andhra Pradesh	Rock Phosphate	Mitex
Cluster Beans	Sandy	Rainy	Tamil Nadu	Urea	Mitex
Onion Seeds	Loamy	Winter	Punjab	Rock Phosphate	EcoHume
Brinjal	Black	Summer	Maharashtra	Ammonium Sulphate	SafeGuard
Gongura	Sandy	Summer	Kerala	Urea	SafeGuard
Brinjal	Clay	Winter	Kerala	Silicon Fertilizer	GreenSpray
Cluster Beans	Loamy	Spring	Maharashtra	Potassium Nitrate	CropCare Plus
Basmathi Rice	Loamy	Rainy	Kerala	Liquid Organic Fertilizer	CropCare Plus
Cluster Beans	Sandy	Rainy	Tamil Nadu	Potassium Nitrate	GreenSpray
Basmathi Rice	Sandy	Rainy	Andhra Pradesh	Zinc Sulphate	GreenSpray
Sunflower	Sandy	Winter	Maharashtra	Calcium Nitrate	InsectoShield
Hybrid Tomato	Loamy	Rainy	Punjab	Zinc Sulphate	Terminator XT
Mango	Loamy	Rainy	Punjab	Ammonium Sulphate	Terminator XT
Papaya	Clay	Summer	Punjab	DAP	PowerNeem
SonaMasoori	Sandy	Winter	Kerala	Ammonium Sulphate	GreenSpray
SonaMasoori	Black	Rainy	Karnataka	DAP	Dicofol
Cucumber	Red	Summer	Telangana	Zinc Sulphate	Dicofol
Fennel	Sandy	Summer	Andhra Pradesh	Zinc Sulphate	LeafShield
Cotton	Red	Winter	Karnataka	Liquid Organic Fertilizer	WeedEx
WaterMelon	Red	Winter	Tamil Nadu	Humic Acid	SafeGuard
Sesame	Loamy	Spring	Maharashtra	Rock Phosphate	EcoHume
Maize	Loamy	Spring	Andhra Pradesh	Phosphoric Acid	Bayer Confidor
Basmathi Rice	Black	Summer	Karnataka	Urea	SafeGuard
Hybrid Tomato	Red	Winter	Tamil Nadu	Phosphoric Acid	Terminator XT
Chilli	Black	Rainy	Maharashtra	Ammonium Sulphate	LeafShield
Fennel	Clay	Rainy	Karnataka	Urea	Terminator XT
SonaMasoori	Red	Rainy	Punjab	Rock Phosphate	InsectoShield
Bengal Gram	Black	Summer	Gujarat	Ammonium Sulphate	WeedEx
GroundNut	Red	Spring	Telangana	Silicon Fertilizer	SafeGuard
Fennel	Sandy	Spring	Gujarat	Humic Acid	GreenSpray
Chilli	Red	Summer	Telangana	Potassium Nitrate	Mitex
Gongura	Red	Summer	Gujarat	Silicon Fertilizer	Mitex
Mango	Clay	Summer	Kerala	Humic Acid	EcoHume
Cucumber	Clay	Summer	Andhra Pradesh	NPK 20-20-20	WeedEx
Hybrid Tomato	Clay	Summer	Telangana	Silicon Fertilizer	WeedEx
Papaya	Sandy	Rainy	Tamil Nadu	DAP	GreenSpray
GroundNut	Black	Rainy	Karnataka	DAP	Dicofol
Brinjal	Sandy	Rainy	Kerala	Rock Phosphate	EcoHume
Mango	Black	Winter	Maharashtra	Ammonium Sulphate	Bioneem Spray
Sesame	Loamy	Winter	Maharashtra	Potassium Nitrate	Fungicide Pro
Mango	Sandy	Rainy	Maharashtra	NPK 20-20-20	Mitex
Bengal Gram	Sandy	Winter	Punjab	Urea	GreenSpray
SonaMasoori	Clay	Rainy	Andhra Pradesh	Liquid Organic Fertilizer	CropCare Plus
Gongura	Black	Winter	Tamil Nadu	NPK 20-20-20	Fungicide Pro
Hybrid Tomato	Clay	Winter	Tamil Nadu	Urea	CropCare Plus
Sesame	Sandy	Winter	Punjab	Phosphoric Acid	Organic Guard
Onion Seeds	Black	Winter	Gujarat	Calcium Nitrate	Mitex
Brinjal	Red	Spring	Karnataka	Liquid Organic Fertilizer	LeafShield
Sunflower	Loamy	Summer	Gujarat	Liquid Organic Fertilizer	Bioneem Spray
Onion Seeds	Red	Winter	Tamil Nadu	Silicon Fertilizer	Bioneem Spray
SonaMasoori	Sandy	Spring	Punjab	Rock Phosphate	LeafShield
Chilli	Black	Rainy	Kerala	Calcium Nitrate	EcoHume
Fennel	Black	Rainy	Andhra Pradesh	Ammonium Sulphate	LeafShield
WaterMelon	Clay	Rainy	Kerala	Potassium Nitrate	Bioneem Spray
Onion Seeds	Sandy	Summer	Maharashtra	Humic Acid	Terminator XT
Gongura	Clay	Winter	Punjab	Humic Acid	Bioneem Spray
Mango	Clay	Spring	Gujarat	Potassium Nitrate	PowerNeem
Hybrid Tomato	Black	Rainy	Andhra Pradesh	Humic Acid	InsectoShield
Hybrid Tomato	Clay	Spring	Maharashtra	Silicon Fertilizer	Bioneem Spray
Hybrid Tomato	Loamy	Summer	Kerala	Phosphoric Acid	PowerNeem
SonaMasoori	Sandy	Spring	Maharashtra	DAP	Fungicide Pro
Onion Seeds	Red	Rainy	Telangana	NPK 20-20-20	Terminator XT
SonaMasoori	Loamy	Winter	Karnataka	Urea	LeafShield
Wheat	Clay	Summer	Tamil Nadu	Zinc Sulphate	CropCare Plus
Basmathi Rice	Loamy	Winter	Punjab	Potassium Nitrate	Bioneem Spray
Cucumber	Black	Summer	Karnataka	DAP	LeafShield
Basmathi Rice	Sandy	Spring	Karnataka	Rock Phosphate	GreenSpray
Basmathi Rice	Loamy	Winter	Punjab	DAP	PowerNeem
Mango	Red	Summer	Kerala	Urea	Bayer Confidor
Hybrid Tomato	Loamy	Summer	Gujarat	NPK 20-20-20	Mitex
Wheat	Loamy	Winter	Telangana	NPK 20-20-20	Bayer Confidor
Fennel	Loamy	Winter	Andhra Pradesh	Liquid Organic Fertilizer	Bayer Confidor
Papaya	Clay	Winter	Telangana	Urea	Bioneem Spray
Onion Seeds	Black	Winter	Karnataka	Rock Phosphate	EcoHume
Papaya	Clay	Summer	Maharashtra	Urea	Mitex
Basmathi Rice	Red	Winter	Kerala	DAP	Mitex
Gongura	Red	Spring	Maharashtra	Urea	Bayer Confidor
Fennel	Loamy	Winter	Tamil Nadu	Rock Phosphate	Organic Guard
Maize	Red	Spring	Tamil Nadu	Urea	Bioneem Spray
Wheat	Black	Spring	Maharashtra	NPK 20-20-20	Organic Guard
Papaya	Loamy	Rainy	Punjab	Silicon Fertilizer	Dicofol
Chilli	Black	Summer	Punjab	Rock Phosphate	PowerNeem
Fennel	Clay	Winter	Gujarat	DAP	Bayer Confidor
Chia	Clay	Rainy	Kerala	DAP	Bioneem Spray
Sesame	Black	Winter	Tamil Nadu	Liquid Organic Fertilizer	Fungicide Pro
Bengal Gram	Loamy	Rainy	Punjab	Ammonium Sulphate	SafeGuard
Sesame	Black	Spring	Tamil Nadu	Rock Phosphate	Fungicide Pro
Papaya	Clay	Rainy	Tamil Nadu	Silicon Fertilizer	Dicofol
Mango	Red	Summer	Kerala	Ammonium Sulphate	Bioneem Spray
WaterMelon	Loamy	Summer	Karnataka	Humic Acid	GreenSpray
GroundNut	Loamy	Rainy	Andhra Pradesh	Rock Phosphate	InsectoShield
Sesame	Clay	Rainy	Telangana	Urea	PowerNeem
Cotton	Red	Summer	Maharashtra	Zinc Sulphate	Mitex
Black Gram	Loamy	Winter	Gujarat	Potassium Nitrate	Bioneem Spray
SonaMasoori	Sandy	Winter	Karnataka	Calcium Nitrate	Mitex
GroundNut	Clay	Spring	Andhra Pradesh	Liquid Organic Fertilizer	SafeGuard
Hybrid Tomato	Loamy	Rainy	Andhra Pradesh	Urea	CropCare Plus
Wheat	Red	Summer	Maharashtra	Zinc Sulphate	CropCare Plus
Onion Seeds	Loamy	Rainy	Andhra Pradesh	Ammonium Sulphate	Organic Guard
Chia	Sandy	Winter	Punjab	Potassium Nitrate	GreenSpray
Cotton	Loamy	Summer	Karnataka	DAP	Dicofol
Cucumber	Clay	Spring	Karnataka	Liquid Organic Fertilizer	WeedEx
Mango	Black	Winter	Punjab	NPK 20-20-20	Bioneem Spray
Mango	Clay	Winter	Punjab	Phosphoric Acid	Mitex
Chilli	Clay	Rainy	Andhra Pradesh	Silicon Fertilizer	GreenSpray
Sunflower	Clay	Rainy	Kerala	DAP	EcoHume
Cluster Beans	Loamy	Spring	Tamil Nadu	DAP	CropCare Plus
Cotton	Black	Summer	Punjab	Rock Phosphate	InsectoShield
Cotton	Clay	Summer	Karnataka	Urea	Bayer Confidor
Sesame	Sandy	Winter	Gujarat	Silicon Fertilizer	Terminator XT
Wheat	Loamy	Winter	Kerala	Rock Phosphate	InsectoShield
Cotton	Black	Spring	Karnataka	Humic Acid	PowerNeem
Bengal Gram	Red	Rainy	Punjab	Ammonium Sulphate	PowerNeem
Fennel	Loamy	Spring	Karnataka	Liquid Organic Fertilizer	Bayer Confidor
Gongura	Clay	Spring	Tamil Nadu	NPK 20-20-20	EcoHume
Gongura	Sandy	Winter	Andhra Pradesh	Humic Acid	LeafShield
Sesame	Clay	Summer	Kerala	Humic Acid	InsectoShield
Black Gram	Red	Winter	Maharashtra	NPK 20-20-20	LeafShield
WaterMelon	Black	Summer	Punjab	Calcium Nitrate	GreenSpray
Onion Seeds	Red	Rainy	Telangana	DAP	Fungicide Pro
WaterMelon	Clay	Spring	Gujarat	Ammonium Sulphate	Organic Guard
Wheat	Black	Summer	Punjab	Humic Acid	Dicofol
Sunflower	Clay	Spring	Gujarat	Rock Phosphate	CropCare Plus
Gongura	Sandy	Summer	Andhra Pradesh	Rock Phosphate	Organic Guard
Bengal Gram	Clay	Spring	Andhra Pradesh	Zinc Sulphate	Terminator XT
Chilli	Sandy	Rainy	Karnataka	Urea	Bioneem Spray
Cluster Beans	Clay	Spring	Telangana	Urea	Bayer Confidor
Onion Seeds	Clay	Summer	Tamil Nadu	NPK 20-20-20	SafeGuard
Wheat	Clay	Spring	Punjab	Potassium Nitrate	Mitex
Mango	Clay	Summer	Punjab	Zinc Sulphate	Organic Guard
Chia	Loamy	Winter	Telangana	Rock Phosphate	CropCare Plus
Papaya	Sandy	Winter	Punjab	Liquid Organic Fertilizer	SafeGuard
Maize	Clay	Spring	Tamil Nadu	NPK 20-20-20	SafeGuard
Basmathi Rice	Loamy	Rainy	Karnataka	Rock Phosphate	SafeGuard
Hybrid Tomato	Red	Rainy	Karnataka	Humic Acid	WeedEx
Chilli	Red	Winter	Kerala	Silicon Fertilizer	WeedEx
Mango	Black	Spring	Andhra Pradesh	Liquid Organic Fertilizer	CropCare Plus
Gongura	Black	Rainy	Maharashtra	Liquid Organic Fertilizer	Mitex
Bengal Gram	Sandy	Rainy	Telangana	Humic Acid	GreenSpray
Cotton	Clay	Rainy	Gujarat	Phosphoric Acid	GreenSpray
Sunflower	Clay	Summer	Maharashtra	DAP	WeedEx
Brinjal	Loamy	Summer	Telangana	Potassium Nitrate	GreenSpray
Chilli	Red	Spring	Kerala	Rock Phosphate	Fungicide Pro
Chilli	Black	Winter	Karnataka	Rock Phosphate	Fungicide Pro
Basmathi Rice	Black	Rainy	Punjab	DAP	CropCare Plus
GroundNut	Black	Winter	Telangana	Calcium Nitrate	Fungicide Pro
Bengal Gram	Sandy	Spring	Maharashtra	NPK 20-20-20	Mitex
Gongura	Clay	Rainy	Karnataka	Potassium Nitrate	Fungicide Pro
Papaya	Black	Winter	Punjab	DAP	LeafShield
Chilli	Sandy	Summer	Karnataka	Zinc Sulphate	Terminator XT
Sunflower	Clay	Winter	Andhra Pradesh	Silicon Fertilizer	GreenSpray
Fennel	Clay	Summer	Kerala	Humic Acid	Dicofol
Black Gram	Red	Rainy	Gujarat	Humic Acid	EcoHume
SonaMasoori	Sandy	Spring	Karnataka	NPK 20-20-20	CropCare Plus
Sunflower	Red	Winter	Tamil Nadu	DAP	GreenSpray
Sesame	Red	Rainy	Punjab	Silicon Fertilizer	Organic Guard
Hybrid Tomato	Loamy	Rainy	Punjab	Urea	LeafShield
Cluster Beans	Black	Winter	Karnataka	Potassium Nitrate	WeedEx
Cucumber	Sandy	Winter	Punjab	Urea	PowerNeem
Mango	Clay	Winter	Gujarat	Liquid Organic Fertilizer	Bayer Confidor
Wheat	Clay	Rainy	Telangana	DAP	Bioneem Spray
Fennel	Red	Summer	Karnataka	DAP	Bioneem Spray
Hybrid Tomato	Clay	Winter	Punjab	Liquid Organic Fertilizer	Dicofol
Maize	Black	Spring	Punjab	Calcium Nitrate	Mitex
Hybrid Tomato	Red	Rainy	Andhra Pradesh	DAP	Mitex
Black Gram	Loamy	Winter	Telangana	Ammonium Sulphate	Mitex
SonaMasoori	Sandy	Spring	Telangana	NPK 20-20-20	Bioneem Spray
SonaMasoori	Clay	Rainy	Punjab	Zinc Sulphate	PowerNeem
Sunflower	Black	Rainy	Andhra Pradesh	Ammonium Sulphate	Bioneem Spray
Gongura	Clay	Rainy	Karnataka	Liquid Organic Fertilizer	SafeGuard
Cotton	Clay	Spring	Telangana	Rock Phosphate	EcoHume
WaterMelon	Loamy	Summer	Andhra Pradesh	DAP	InsectoShield
Cotton	Clay	Summer	Telangana	Zinc Sulphate	Fungicide Pro
Sesame	Red	Rainy	Maharashtra	DAP	WeedEx
Gongura	Loamy	Winter	Andhra Pradesh	NPK 20-20-20	Dicofol
Hybrid Tomato	Loamy	Spring	Andhra Pradesh	Silicon Fertilizer	Terminator XT
Brinjal	Red	Summer	Gujarat	Humic Acid	Organic Guard
Sunflower	Black	Winter	Andhra Pradesh	Silicon Fertilizer	Mitex
Brinjal	Clay	Summer	Karnataka	Zinc Sulphate	Mitex
Maize	Clay	Winter	Andhra Pradesh	Zinc Sulphate	GreenSpray
Papaya	Clay	Rainy	Gujarat	NPK 20-20-20	Bioneem Spray
Brinjal	Red	Winter	Andhra Pradesh	Humic Acid	Bioneem Spray
Brinjal	Black	Spring	Karnataka	NPK 20-20-20	Mitex
Maize	Red	Spring	Punjab	Calcium Nitrate	Bioneem Spray
Black Gram	Black	Spring	Kerala	Ammonium Sulphate	Fungicide Pro
GroundNut	Loamy	Winter	Kerala	Rock Phosphate	WeedEx
Cluster Beans	Clay	Rainy	Andhra Pradesh	DAP	Dicofol
Brinjal	Red	Rainy	Tamil Nadu	DAP	EcoHume
Sesame	Red	Rainy	Punjab	Silicon Fertilizer	Terminator XT
Cucumber	Clay	Spring	Punjab	Phosphoric Acid	Organic Guard
Chia	Clay	Rainy	Tamil Nadu	NPK 20-20-20	EcoHume
Chia	Black	Spring	Gujarat	Potassium Nitrate	Mitex
Bengal Gram	Clay	Spring	Punjab	Humic Acid	EcoHume
SonaMasoori	Black	Summer	Tamil Nadu	NPK 20-20-20	Bayer Confidor
GroundNut	Sandy	Winter	Gujarat	Liquid Organic Fertilizer	GreenSpray
Papaya	Sandy	Spring	Karnataka	Silicon Fertilizer	CropCare Plus
GroundNut	Black	Rainy	Kerala	Calcium Nitrate	EcoHume
Basmathi Rice	Loamy	Winter	Punjab	Zinc Sulphate	EcoHume
Mango	Sandy	Winter	Telangana	DAP	Terminator XT
Hybrid Tomato	Black	Rainy	Maharashtra	DAP	Dicofol
Maize	Clay	Spring	Gujarat	Potassium Nitrate	InsectoShield
Cluster Beans	Sandy	Summer	Gujarat	Zinc Sulphate	Organic Guard
Wheat	Sandy	Spring	Maharashtra	Rock Phosphate	EcoHume
Hybrid Tomato	Clay	Spring	Telangana	Urea	Bioneem Spray
Cotton	Red	Winter	Tamil Nadu	Calcium Nitrate	InsectoShield
Fennel	Red	Winter	Karnataka	Urea	Mitex
Cotton	Clay	Rainy	Maharashtra	Ammonium Sulphate	WeedEx
Cucumber	Sandy	Spring	Gujarat	Liquid Organic Fertilizer	LeafShield
Sunflower	Black	Winter	Punjab	Phosphoric Acid	Bayer Confidor
Cluster Beans	Sandy	Winter	Maharashtra	NPK 20-20-20	Organic Guard
Sesame	Loamy	Spring	Gujarat	Rock Phosphate	Mitex
Cotton	Red	Summer	Karnataka	Zinc Sulphate	EcoHume
Mango	Black	Rainy	Telangana	Ammonium Sulphate	WeedEx
Wheat	Red	Summer	Maharashtra	Ammonium Sulphate	Bioneem Spray
Sesame	Sandy	Rainy	Punjab	DAP	WeedEx
Mango	Red	Spring	Telangana	NPK 20-20-20	CropCare Plus
Gongura	Clay	Spring	Telangana	Zinc Sulphate	Bioneem Spray
Sunflower	Sandy	Spring	Gujarat	Ammonium Sulphate	Organic Guard
SonaMasoori	Clay	Spring	Gujarat	DAP	CropCare Plus
Onion Seeds	Red	Summer	Kerala	DAP	Fungicide Pro
Chia	Sandy	Summer	Gujarat	NPK 20-20-20	CropCare Plus
Sunflower	Sandy	Spring	Tamil Nadu	Calcium Nitrate	Mitex
GroundNut	Clay	Winter	Punjab	Rock Phosphate	PowerNeem
WaterMelon	Loamy	Winter	Tamil Nadu	NPK 20-20-20	Organic Guard
Cluster Beans	Black	Winter	Maharashtra	Ammonium Sulphate	Bioneem Spray
Fennel	Sandy	Summer	Karnataka	DAP	SafeGuard
Mango	Loamy	Rainy	Punjab	Potassium Nitrate	Fungicide Pro
Mango	Clay	Summer	Telangana	Rock Phosphate	Mitex
SonaMasoori	Red	Spring	Kerala	Zinc Sulphate	Bayer Confidor
Hybrid Tomato	Clay	Rainy	Telangana	NPK 20-20-20	GreenSpray
GroundNut	Sandy	Winter	Maharashtra	Urea	InsectoShield
SonaMasoori	Black	Rainy	Andhra Pradesh	Silicon Fertilizer	CropCare Plus
Chilli	Loamy	Winter	Tamil Nadu	Liquid Organic Fertilizer	Fungicide Pro
